,Status,Meal plan identifier,Segmentation,Lenght of the stay,Day of week,Room type ok,Non refundable
122,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard,Non refundable
123,Confirmed,RO,Online Travel agency,4,Not Weekend,Double Standard,Non refundable
124,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Standard,Free cancellation
125,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Standard,Free cancellation
126,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
127,Confirmed,BB,Travel agency,2,Not Weekend,Double Standard,Free cancellation
128,Confirmed,RO,Direct reservation / Walk-in,3,Not Weekend,Double London Eye view,Free cancellation
129,Confirmed,BB,Tour Operator,2,Not Weekend,Double Standard,Free cancellation
130,Confirmed,BB,Flash sales / Boxes,4,Not Weekend,Double Deluxe,Free cancellation
131,Confirmed,BB,Tour Operator,4,Not Weekend,Double Standard City View,Free cancellation
132,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
133,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
134,Confirmed,BB,Online Travel agency,3,Not Weekend,Double Standard,Free cancellation
135,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
136,Confirmed,BB,Tour Operator,2,Not Weekend,Double Standard,Free cancellation
137,Confirmed,BB,Tour Operator,2,Not Weekend,Double Standard,Free cancellation
138,Confirmed,BB,Travel agency,1,Not Weekend,Double Standard,Free cancellation
139,Confirmed,BB,Travel agency,1,Not Weekend,Double Standard,Free cancellation
140,Confirmed,RO,Online Travel agency,3,Not Weekend,Double Standard,Non refundable
141,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Deluxe,Free cancellation
142,Confirmed,BB,Flash sales / Boxes,4,Not Weekend,Double Deluxe,Free cancellation
143,Confirmed,BB,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
144,Confirmed,BB,Travel agency,3,Not Weekend,Double Standard,Free cancellation
145,Confirmed,BB,Online Travel agency,3,Not Weekend,Double Standard,Free cancellation
146,Confirmed,BB,Online Travel agency,3,Not Weekend,Double Standard,Free cancellation
147,Confirmed,BB,Online Travel agency,3,Not Weekend,Double Standard,Free cancellation
148,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
149,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
150,Confirmed,BB,Tour Operator,2,Not Weekend,Double Standard,Free cancellation
151,Confirmed,BB,Flash sales / Boxes,4,Not Weekend,Double Deluxe,Free cancellation
152,Confirmed,BB,Flash sales / Boxes,4,Not Weekend,Double Deluxe,Free cancellation
153,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
154,Confirmed,BB,Tour Operator,4,Not Weekend,Double Standard,Free cancellation
155,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
156,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Deluxe,Free cancellation
157,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
158,Confirmed,BB,Travel agency,3,Not Weekend,Triple Standard,Free cancellation
159,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard,Free cancellation
160,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Standard,Free cancellation
161,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard,Non refundable
162,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard,Non refundable
163,Confirmed,RO,Corporate/Mice,1,Not Weekend,Double Standard,Free cancellation
164,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Non refundable
165,Confirmed,RO,Online Travel agency,4,Not Weekend,Double Standard,Non refundable
166,Confirmed,RO,Online Travel agency,4,Not Weekend,Double Standard,Non refundable
167,Confirmed,BB,Online Travel agency,2,Not Weekend,Double Standard,Free cancellation
168,Confirmed,BB,Online Travel agency,2,Not Weekend,Double Standard,Free cancellation
169,Confirmed,BB,Online Travel agency,2,Not Weekend,Double Standard City View,Free cancellation
170,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Standard,Free cancellation
171,Confirmed,BB,Flash sales / Boxes,5,Not Weekend,Double Deluxe,Free cancellation
172,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
173,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Standard,Free cancellation
174,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Standard,Free cancellation
175,Confirmed,RO,Direct reservation / Walk-in,2,Not Weekend,Double Standard,Free cancellation
176,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
177,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
178,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Deluxe,Free cancellation
179,Confirmed,BB,Tour Operator,2,Not Weekend,Double Standard,Free cancellation
180,Confirmed,BB,Travel agency,3,Not Weekend,Double Standard,Free cancellation
181,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
182,Confirmed,BB,Tour Operator,4,Not Weekend,Double Standard City View,Free cancellation
183,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Deluxe,Free cancellation
184,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
185,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
186,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Standard,Free cancellation
187,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Non refundable
188,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
189,Confirmed,RO,Online Travel agency,3,Not Weekend,Double Standard,Free cancellation
190,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
191,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
192,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Deluxe,Non refundable
193,Confirmed,RO,Direct reservation / Walk-in,1,Not Weekend,Double Standard,Free cancellation
194,Confirmed,RO,Online Travel agency,3,Not Weekend,Triple Standard,Non refundable
195,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
196,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
197,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
198,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
199,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
200,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
201,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
202,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
203,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
204,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
205,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
206,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
207,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
208,Confirmed,RO,Direct reservation / Walk-in,1,Not Weekend,Double Standard,Free cancellation
209,Confirmed,BB,Online Travel agency,4,Not Weekend,Double Standard,Free cancellation
210,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Standard,Free cancellation
211,Confirmed,BB,Tour Operator,2,Not Weekend,Double Standard,Free cancellation
212,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
213,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
214,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
215,Confirmed,BB,Online Travel agency,3,Not Weekend,Double Standard,Non refundable
216,Confirmed,BB,Travel agency,3,Not Weekend,Double Standard,Free cancellation
217,Confirmed,BB,Tour Operator,2,Not Weekend,Double Standard,Free cancellation
218,Confirmed,RO,Direct reservation / Walk-in,1,Not Weekend,Double Standard,Non refundable
219,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Standard,Free cancellation
220,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
221,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
222,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
223,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
224,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
225,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
226,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Deluxe,Free cancellation
227,Confirmed,BB,Travel agency,5,Not Weekend,Double Standard,Free cancellation
228,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Standard,Free cancellation
229,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
230,Confirmed,RO,Online Travel agency,5,Not Weekend,Double Standard,Non refundable
231,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
232,Confirmed,HB,Direct reservation / Walk-in,4,Not Weekend,Double Deluxe,Non refundable
233,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
234,Confirmed,BB,Travel agency,3,Not Weekend,Double Standard,Free cancellation
235,Confirmed,RO,Direct reservation / Walk-in,2,Not Weekend,Double Standard City View,Non refundable
236,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Standard,Free cancellation
237,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard City View,Non refundable
238,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard City View,Non refundable
239,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard City View,Non refundable
240,Confirmed,BB,Flash sales / Boxes,1,Weekend,Double Standard,Free cancellation
241,Confirmed,BB,Tour Operator,1,Weekend,Double Standard,Free cancellation
242,Confirmed,BB,Flash sales / Boxes,2,Weekend,Double Deluxe,Free cancellation
