,Cancelled,Arrival,Arrival month,Departure,Length of the stay,Creation date,Lead time,Cancellation date,Cxl time,Cancellation lead time,Stay type,Room type,Meal,N of pax,Non Refundable,VIP,Country,Market channel,Channel
354,1,2019-01-28,1,2019-01-29,1,2019-01-14,14,2019-01-24 00:00:00,10.0,4.0,L-L,Double Standard,RO,1,0,0,United States,OTA,XML
355,1,2019-01-28,1,2019-01-29,1,2019-01-16,12,2019-01-18 00:00:00,2.0,10.0,L-L,Double Standard,RO,1,0,0,Other,OTA,XML
356,1,2019-01-28,1,2019-01-29,1,2019-01-17,11,2019-01-25 00:00:00,8.0,3.0,L-L,Double Standard,BB,1,0,0,United Kingdom,Corporate / Mice,GDS
357,1,2019-01-28,1,2019-01-29,1,2019-01-17,11,2019-01-28 00:00:00,11.0,0.0,L-L,Double Standard City View,RO,2,1,0,Other,OTA,XML
358,1,2019-01-28,1,2019-01-30,2,2019-01-18,10,2019-01-18 00:00:00,0.0,10.0,L-L,Double Standard,BB,1,0,0,United Kingdom,Corporate / Mice,GDS
359,1,2019-01-28,1,2019-01-29,1,2019-01-19,9,2019-01-26 00:00:00,7.0,2.0,L-L,Double Standard,RO,1,0,0,Other,OTA,XML
361,1,2019-01-29,1,2019-01-31,2,2018-08-30,152,2018-09-11 00:00:00,12.0,140.0,L-L,Double Standard,RO,2,0,0,Other,OTA,XML
362,1,2019-01-29,1,2019-01-30,1,2018-10-17,104,2018-10-18 00:00:00,1.0,103.0,L-L,Double Standard,BB,1,0,0,United Kingdom,TTOO,EMAIL
363,1,2019-01-29,1,2019-01-30,1,2018-10-18,103,2018-12-03 00:00:00,46.0,57.0,L-L,Double Standard,RO,1,0,0,United Kingdom,Travel agency,XML
364,1,2019-01-29,1,2019-02-03,5,2018-12-05,55,2018-12-06 00:00:00,1.0,54.0,W-L,Double Standard,RO,1,0,0,United States,OTA,XML
365,1,2019-01-29,1,2019-02-01,3,2018-12-06,54,2019-01-10 00:00:00,35.0,19.0,L-L,Triple Standard,BB,3,0,0,United Kingdom,TTOO,EMAIL
366,1,2019-01-29,1,2019-01-31,2,2018-12-09,51,2018-12-17 00:00:00,8.0,43.0,L-L,Double Standard,RO,2,0,0,Other,OTA,XML
368,1,2019-01-29,1,2019-01-30,1,2018-12-16,44,2018-12-21 00:00:00,5.0,39.0,L-L,Double Standard City View,RO,2,0,0,Other,OTA,XML
369,1,2019-01-29,1,2019-02-01,3,2018-12-28,32,2019-01-02 00:00:00,5.0,27.0,L-L,Double Standard,BB,1,0,0,Other,TTOO,EMAIL
370,1,2019-01-29,1,2019-02-01,3,2019-01-07,22,2019-01-15 00:00:00,8.0,14.0,L-L,Double Standard,BB,1,0,1,United Kingdom,GDS,GDS
371,1,2019-01-29,1,2019-01-30,1,2019-01-08,21,2019-01-24 00:00:00,16.0,5.0,L-L,Double Standard,BB,1,0,0,Germany,GDS,EMAIL
372,1,2019-01-29,1,2019-02-01,3,2019-01-10,19,2019-01-11 00:00:00,1.0,18.0,L-L,Double Standard,BB,1,0,0,Spain,Travel agency,GDS
373,1,2019-01-29,1,2019-01-31,2,2019-01-11,18,2019-01-11 00:00:00,0.0,18.0,L-L,Double Standard,RO,1,0,0,Spain,GDS,WEB
374,1,2019-01-29,1,2019-02-02,4,2019-01-11,18,2019-01-11 00:00:00,0.0,18.0,W-L,Double Standard,BB,2,0,0,United Kingdom,TTOO,EMAIL
375,1,2019-01-29,1,2019-01-30,1,2019-01-17,12,2019-01-28 00:00:00,11.0,1.0,L-L,Double Standard,RO,1,0,0,Spain,GDS,GDS
376,1,2019-01-29,1,2019-01-30,1,2019-01-21,8,2019-01-25 00:00:00,4.0,4.0,L-L,Double Standard,RO,1,0,0,United States,OTA,XML
378,1,2019-01-29,1,2019-01-30,1,2019-01-22,7,2019-01-29 00:00:00,7.0,0.0,L-L,Double Standard,BB,1,0,0,United Kingdom,Corporate / Mice,GDS
379,1,2019-01-30,1,2019-01-31,1,2018-06-03,241,2018-09-19 00:00:00,108.0,133.0,L-L,Double Standard,RO,2,0,0,Other,OTA,XML
380,1,2019-01-30,1,2019-02-01,2,2018-09-10,142,2018-11-11 00:00:00,62.0,80.0,L-L,Double Standard City View,RO,2,0,0,Other,OTA,XML
381,1,2019-01-30,1,2019-01-31,1,2018-09-17,135,2019-01-24 00:00:00,129.0,6.0,L-L,Double Standard,RO,1,0,0,United Kingdom,Corporate / Mice,EMAIL
382,1,2019-01-30,1,2019-01-31,1,2018-09-26,126,2018-09-29 00:00:00,3.0,123.0,L-L,Double Standard City View,HB,2,0,0,Other,OTA,XML
383,1,2019-01-30,1,2019-02-05,6,2018-10-04,118,2018-10-06 00:00:00,2.0,116.0,L-W-L,Double Standard,RO,1,0,0,Other,OTA,XML
384,1,2019-01-30,1,2019-01-31,1,2018-10-08,114,2019-01-20 00:00:00,104.0,10.0,L-L,Double Standard City View,RO,2,0,0,Other,OTA,XML
