Numero Reserva,Cliente Comercial,Fecha llegada,Fecha de salida,Tipo de habitación,Estado,Identificador régimen alimenticio,Tarifa,Fecha de Creación,Nº de pax del tipo 1 alojados,Fecha de cancelación,VIP,Identificador segmento de mercado,Identificador procedencia de negocio,País,Identificador de canal
5472085,EXPEDIA,27/6/2019,30/6/2019,DBLSTD,Confirmada,RO,X_B_PKNR,24/6/2019,1,,,ONL,ONL,US,XML
5473055,EXPEDIA,28/6/2019,30/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,24/6/2019,1,,,ONL,ONL,US,XML
5473151,DIRECT,24/6/2019,25/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,24/6/2019,2,,,DIR,DIR,ES,EMAIL
5473686,HLMAD,25/6/2019,26/6/2019,DBLSTD,Confirmada,BB,C_170/190,25/6/2019,1,,5,CORP,EMP,GB,IMPLANT
5474106,RED LETTER DAYS,28/6/2019,29/6/2019,DBLSTD,Confirmada,BB,BFL_RED,25/6/2019,2,,,ONL,ONL,GB,EMAIL
5474515,ARK GROUP DMCC,27/6/2019,28/6/2019,DBLSTD,Confirmada,BB,C_160/180,25/6/2019,1,,5,CORP,EMP,AE,EMAIL
5474518,PRIDEPATH (COMPUTING) LTD.,26/6/2019,28/6/2019,DBLSTD,Confirmada,BB,C_155/175,25/6/2019,1,,,CORP,EMP,GB,EMAIL
5474588,WEB H10,28/6/2019,1/7/2019,DBLSTDST,Confirmada,RO,W_BAR_NR,25/6/2019,1,,,DIR,DIR,ES,WEB
5474784,BOOKING.COM,25/6/2019,26/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,25/6/2019,1,,,ONL,ONL,,XML
5475220,EXPEDIA,25/6/2019,29/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,25/6/2019,1,,,ONL,ONL,US,XML
5475694,RED LETTER DAYS,29/6/2019,30/6/2019,DBLSTD,Confirmada,BB,BFL_RED,25/6/2019,2,,,ONL,ONL,GB,EMAIL
